Year,District,State,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,WS2M,ALLSKY_SFC_PAR_TOT
1990,Anantapur,Andhra Pradesh,27.0269863,33.97183562,21.15142466,56.81690411,19.48526027,3.688931507,9.375780822
1991,Anantapur,Andhra Pradesh,27.35512329,34.09460274,21.54276712,56.31947945,19.69019178,3.415315068,9.456712329
1993,Anantapur,Andhra Pradesh,26.62780822,33.40838356,20.78172603,58.85794521,19.53758904,3.447671233,9.362821918
1994,Anantapur,Andhra Pradesh,26.55463014,33.34263014,20.84312329,60.53643836,19.44043836,3.667972603,9.379479452
1995,Anantapur,Andhra Pradesh,26.40369863,33.03342466,20.73210959,61.4569863,19.76158904,3.266958904,9.48139726
1996,Anantapur,Andhra Pradesh,26.27814208,32.83448087,20.55062842,60.91464481,18.91259563,3.214453552,9.01147541
1997,Anantapur,Andhra Pradesh,26.92731507,33.69490411,21.18646575,59.79315068,19.0369863,3.351479452,9.223753425
1998,Anantapur,Andhra Pradesh,27.08019178,33.4269863,21.62490411,61.99161644,19.40284932,3.05290411,9.310520548
1999,Anantapur,Andhra Pradesh,26.24263014,32.99526027,20.47419178,60.46210959,20.696,3.403808219,9.941561644
2000,Anantapur,Andhra Pradesh,26.52254098,33.33786885,20.69519126,59.55770492,20.21346995,3.309535519,9.698196721
2001,Anantapur,Andhra Pradesh,26.60336986,33.14235616,21.0269863,60.14432877,19.72164384,3.381561644,9.072383562
2002,Anantapur,Andhra Pradesh,27.09249315,34.19871233,21.07224658,57.95668493,20.51183562,3.521232877,9.401534247
2003,Anantapur,Andhra Pradesh,27.65956164,34.56457534,21.71345205,55.78084932,20.15934247,3.471205479,9.246986301
2004,Anantapur,Andhra Pradesh,26.28704918,33.06319672,20.55021858,61.40666667,20.40284153,3.341939891,9.344289617
2005,Anantapur,Andhra Pradesh,26.21317808,32.11679452,21.09210959,64.96443836,19.67106849,2.971315068,9.030438356
2006,Anantapur,Andhra Pradesh,26.36273973,33.19153425,20.70008219,62.53720548,20.24690411,3.303178082,9.275315068
2007,Anantapur,Andhra Pradesh,26.00791781,32.34542466,20.60342466,64.17158904,19.87564384,3.063315068,9.116630137
2008,Anantapur,Andhra Pradesh,25.95387978,32.56054645,20.38461749,63.99704918,20.28360656,3.102486339,9.282349727
2009,Anantapur,Andhra Pradesh,26.65476712,33.22556164,21.11561644,61.27087671,20.10117808,3.371835616,9.180027397
2010,Anantapur,Andhra Pradesh,26.58290411,32.68654795,21.47183562,65.03243836,19.28616438,3.098082192,8.870630137
2011,Anantapur,Andhra Pradesh,26.40586301,33.47134247,20.5139726,60.71923288,20.26679452,3.421123288,9.214164384
2012,Anantapur,Andhra Pradesh,26.90590164,34.02967213,20.89661202,57.85360656,20.35915301,3.491311475,9.258989071
2013,Anantapur,Andhra Pradesh,26.50487671,33.0860274,20.98942466,61.45687671,19.44953425,3.479315068,8.877232877
2014,Anantapur,Andhra Pradesh,26.64912329,33.29386301,21.04194521,59.95361644,19.7880274,3.330657534,9.010931507
2015,Anantapur,Andhra Pradesh,26.44227397,33.12928767,20.792,61.86161644,20.12632877,3.190465753,9.193068493
2016,Anantapur,Andhra Pradesh,27.24825137,34.26125683,21.24781421,55.63620219,19.80901639,3.163360656,9.02510929
2017,Anantapur,Andhra Pradesh,26.67320548,33.18917808,20.98569863,60.15772603,19.89542466,2.885315068,9.046575342
2018,Anantapur,Andhra Pradesh,27.24786301,34.29660274,21.0950411,54.68939726,19.95421918,3.294219178,9.048356164
2019,Anantapur,Andhra Pradesh,27.26271233,33.60005479,21.82821918,60.24038356,19.77328767,3.194356164,9.045726027
1990,Chittoor,Andhra Pradesh,25.73027397,32.64087671,20.39635616,65.9149589,18.25473973,2.973506849,9.084410959
1991,Chittoor,Andhra Pradesh,25.60326027,32.1550411,20.37479452,66.81813699,18.38008219,2.786383562,9.146547945
1992,Chittoor,Andhra Pradesh,25.05942623,31.91825137,19.62612022,66.44188525,18.57002732,2.608306011,9.250601093
1993,Chittoor,Andhra Pradesh,25.17147945,31.73046575,19.96013699,68.26432877,18.20789041,2.751808219,9.04139726
1994,Chittoor,Andhra Pradesh,25.29816438,32.05167123,20.10238356,67.63068493,18.46591781,2.879917808,9.183342466
1995,Chittoor,Andhra Pradesh,24.88526027,31.29838356,19.92756164,70.91389041,18.42457534,2.594438356,9.158958904
1996,Chittoor,Andhra Pradesh,24.81530055,31.09729508,19.7679235,70.14472678,17.73989071,2.595655738,8.733770492
1997,Chittoor,Andhra Pradesh,25.35964384,31.75517808,20.33980822,69.27589041,18.16578082,2.555424658,9.048547945
1998,Chittoor,Andhra Pradesh,25.3540274,31.43021918,20.48972603,72.37852055,18.09336986,2.497972603,8.975753425
1999,Chittoor,Andhra Pradesh,24.86358904,31.52389041,19.68249315,68.76942466,19.28852055,2.652493151,9.636438356
2000,Chittoor,Andhra Pradesh,25.01224044,31.43827869,20.00412568,69.49527322,18.76680328,2.697295082,9.353251366
2001,Chittoor,Andhra Pradesh,25.26194521,31.69136986,20.1939726,68.93673973,18.43131507,2.753917808,8.514684932
2002,Chittoor,Andhra Pradesh,25.63591781,32.49438356,20.30575342,67.06367123,19.05912329,2.787917808,8.786767123
2003,Chittoor,Andhra Pradesh,25.9280274,32.70041096,20.61731507,65.93558904,18.82605479,2.717972603,8.686876712
2004,Chittoor,Andhra Pradesh,24.73281421,31.00530055,19.7910929,71.45565574,19.04278689,2.660054645,8.777377049
2005,Chittoor,Andhra Pradesh,24.96284932,30.88167123,20.30923288,73.12117808,18.01156164,2.511780822,8.327808219
2006,Chittoor,Andhra Pradesh,25.02591781,31.60682192,19.98446575,69.93372603,19.12967123,2.66769863,8.822356164
